,Dinero prestado,Patrimonio inicial,Hijos,Nivel de estudios
0,2.376226739956283,2.5645227083123276,No,Master
1,2.298635866126522,2.1001317806349875,No,Doctorado
2,1.4920349159515842,2.079186094096559,Si,Master
3,2.244052181869586,1.8059593837273717,No,Grado medio
4,2.0104251815450715,2.512789732425787,No,Universidad
5,1.9730227651293955,1.8507731058051087,No,Grado medio
6,2.4157234270258447,1.829888732666316,Si,Bachiller
7,1.8442626773498536,1.9389320196488689,No,Bachiller
8,1.4871264175179708,1.9498632971005754,Si,Secundaria
9,2.381810529966994,2.109245807812653,Si,Master
10,1.577423526604184,2.4499589221829234,Si,Master
11,2.4069093255693783,1.9992960296593305,Si,Bachiller
12,1.2292797976112444,2.7984080309381105,Si,Grado medio
13,2.7311840737540383,1.66172031270628,Si,Universidad
14,2.908392590588962,1.8204218327254895,No,Doctorado
15,1.9341655517244567,1.5589516459956305,No,Bachiller
16,1.4050785163383344,1.7049849062694198,Si,Master
17,1.797090872843493,1.6732495652436388,No,Master
18,1.9884802033421933,2.776299998043818,No,Master
19,2.23651980094357,3.3227428438088804,No,Universidad
20,1.388205251027213,1.6976048052872654,Si,Universidad
21,1.9760390401860646,1.8112691302123112,Si,Bachiller
22,2.4351327535874416,2.6833759031725433,No,Universidad
23,1.3222817742716124,1.7219661738341725,No,Grado medio
24,1.8031066609224073,2.226730743993929,No,Doctorado
25,1.4764589963162238,2.701409066360711,No,Universidad
26,1.7327416423102486,2.4764106769628227,No,Doctorado
27,1.888873163788748,2.1500828669315704,No,Doctorado
28,1.7958581156550815,2.699250404448202,Si,Grado medio
29,1.674656714532517,1.922389238166047,Si,Grado medio
30,1.5589790345445107,1.4902866842884794,Si,Bachiller
31,1.7509670051015738,1.7922961348970603,No,Secundaria
32,2.8868177696426947,2.711285529861601,No,Bachiller
33,1.507024911551918,2.252170838598066,No,Master
34,1.6949199371724841,2.003524359828803,No,Grado medio
35,2.260665351665895,2.4872027896262145,Si,Doctorado
36,1.3503397734385185,1.9206750387630593,Si,Universidad
37,2.0152649619741805,2.093755353696986,No,Master
38,1.6643092750836477,1.2678832312211434,Si,Grado medio
39,1.3680625892913458,1.3678491180933063,No,Master
40,2.346883427514996,0.6529628727987205,No,Bachiller
41,1.9362055620546177,1.1388649766842474,Si,Secundaria
42,2.6424328604290643,1.8142186660253004,Si,Bachiller
43,3.3035118745193888,1.9418102537602517,Si,Universidad
44,1.8067937829009604,1.3602507181038446,Si,Doctorado
45,2.2225722105643557,2.3804174415134978,Si,Grado medio
46,2.6367143100049835,1.7525521478645634,Si,Doctorado
47,1.4225907772795099,1.5721233906559446,Si,Bachiller
48,1.5988770029195067,2.4472461404418433,Si,Grado medio
49,2.755449533135513,1.9804686799171787,Si,Secundaria
50,2.269376139412435,1.9004081228061611,Si,Master
51,2.084919338616041,1.843087427381938,Si,Universidad
52,1.5611699763075781,1.842787774839694,No,Master
53,1.6428205882256748,1.4800044309667082,No,Master
54,1.7617465849055056,1.6103075359704735,Si,Secundaria
55,1.791773667891185,1.9710070466356306,No,Bachiller
56,2.6430029906205426,1.9541642424790102,No,Secundaria
57,1.1979464512305364,2.3015158591331555,No,Doctorado
58,2.2180983466207773,2.0307058854666398,Si,Grado medio
59,1.3180217586450005,2.2369262906367613,No,Bachiller
60,0.7927870008357045,2.4727091178173257,Si,Grado medio
61,2.588143140775023,1.9287895473977419,No,Master
62,1.8737862009597768,2.5185558258222915,No,Master
63,2.245061327547603,2.0651140343932104,No,Doctorado
64,2.359137427700531,2.584420138012246,Si,Master
65,1.633059340799416,2.44746928952594,Si,Universidad
66,2.1675666127284847,2.215120873805113,No,Secundaria
