,Dinero prestado,Patrimonio inicial,Hijos,Nivel de estudios
0,2.6112140282621725,2.057502011083309,Si,Universidad
1,2.1412996207743005,1.5723954357650762,No,Master
2,2.1016251424154584,1.0723812792569445,Si,Universidad
3,1.6094584042301756,1.381206363008043,Si,Grado medio
4,1.9931182391434799,2.531825590557886,No,Secundaria
5,1.5591819039312487,2.4722781155103024,No,Grado medio
6,2.865341630291911,2.056794341327708,Si,Universidad
7,2.221580953801139,2.674874709899295,Si,Master
8,1.5739917425137504,1.9611535049702287,No,Doctorado
9,2.2456159321960834,1.5666740050198307,Si,Universidad
10,1.9537380703337408,2.049748055613267,No,Doctorado
11,2.4423316716716243,2.4298594250722836,Si,Doctorado
12,1.773095519524729,2.663718060317952,Si,Secundaria
13,2.3845580497433803,2.1864862459314716,No,Master
14,2.710912523397481,1.8391581200473617,Si,Bachiller
15,2.4451090194804617,2.3143166959143864,No,Doctorado
16,1.7715012729195778,1.3451836526344305,No,Universidad
17,1.641497624940788,2.436292049138374,No,Grado medio
18,2.19757658682752,1.6540840024577468,Si,Secundaria
19,1.5137846660705612,1.8050183574505554,Si,Secundaria
20,2.280715851845416,1.7459481764493727,No,Master
21,2.3764813978911903,2.1444545453511936,No,Bachiller
22,2.180655326601351,2.6686725281718715,Si,Master
23,1.654734588442237,1.6020075643040046,Si,Master
24,0.7672496208842328,2.3784285026306535,Si,Master
25,2.060199508997588,2.6591496775191543,Si,Secundaria
26,1.596378107726675,1.4662795131722977,Si,Universidad
27,1.8975142944606973,2.43989654196901,Si,Secundaria
28,1.3981530330172371,1.5719907648775977,Si,Master
29,1.4131082901974241,1.8362318898985004,Si,Grado medio
30,1.4660693907475824,1.8638083529788467,No,Secundaria
31,2.5382368180729005,1.0638884382300375,No,Secundaria
32,1.6962393855815825,2.813634245565038,Si,Bachiller
33,1.8493310043145124,2.1469287813035245,No,Secundaria
34,1.428716808301818,1.8277033219981664,Si,Bachiller
35,1.9835684503522315,2.2294105595972797,No,Bachiller
36,1.8623370766793115,1.5995787730326048,Si,Universidad
37,2.837312735516402,2.1619970233769883,No,Grado medio
38,2.471570066875661,1.6055483122074965,No,Master
39,1.3547293995189287,2.829405480361453,Si,Grado medio
40,2.4794131003206417,2.1071374634599787,Si,Doctorado
41,1.4924884312264985,1.4181701322915798,No,Universidad
42,2.2663020381764083,1.7770916121080051,No,Grado medio
43,2.052351028574579,2.239868869842236,Si,Bachiller
44,1.9946188921747585,1.8173962225426918,Si,Secundaria
45,1.9428279832569657,1.4605278174556036,Si,Master
46,2.616608479131226,2.524846584799141,Si,Universidad
47,2.752972402861654,2.035392779557592,Si,Doctorado
48,1.4616096104189817,1.893117731777115,Si,Secundaria
49,1.7594322773940865,1.740674853157634,Si,Bachiller
50,2.5785468579436044,1.4407831728745877,Si,Master
51,1.6605029537615115,2.627143400111098,No,Master
52,2.6005560783381156,2.117996229239106,No,Grado medio
53,1.7602079278277196,1.6583328850919774,No,Master
54,1.7955682478427883,2.4649848676554127,No,Doctorado
55,1.9391929958106053,2.320348509010302,No,Bachiller
56,2.1635312577675423,2.616897262223243,No,Secundaria
57,2.7809873501360043,2.064805183107084,Si,Universidad
58,1.7122445146940617,1.7684748343998233,No,Doctorado
59,2.2151161455891106,1.8418449483868837,Si,Grado medio
60,1.6579691637027265,2.404945430101496,Si,Master
61,2.4139625031074,1.8480929820568666,Si,Doctorado
62,1.9373052445600398,1.6542790547121051,Si,Grado medio
63,2.237438603258405,1.9279763998253177,Si,Secundaria
64,1.3442207499615064,1.5658523666164155,No,Secundaria
65,2.361442170258214,2.0142980122583727,No,Universidad
66,1.9075321323041927,2.336768833451246,Si,Universidad
67,2.5592747579460693,1.9240612779575748,No,Bachiller
68,2.9855596732860157,1.7575378167903555,Si,Bachiller
69,1.7059204284202694,1.2338469477287999,No,Bachiller
70,2.0594565586756173,1.751314179088754,No,Bachiller
71,1.9167258232120252,2.2480033955039898,Si,Secundaria
72,1.6866383315545934,1.5451113127363523,No,Universidad
73,1.795448224956321,1.7034729867136102,Si,Master
74,2.1585173201674315,2.557304080190262,Si,Grado medio
75,2.869265645460141,1.8273797854555665,No,Secundaria
76,2.6078441357760185,1.4954008148381186,Si,Doctorado
77,1.8901025933620335,1.65951455742653,Si,Grado medio
78,1.312839956497848,1.4125800938234243,No,Doctorado
79,1.8413608246835198,2.2300314766927825,No,Grado medio
80,2.2651142043679378,1.9287014179395263,Si,Doctorado
81,2.384203397999114,2.2482021350411574,Si,Doctorado
82,2.0324983953894953,2.052037277847301,No,Grado medio
83,1.9575897549402852,2.4203051522987677,Si,Bachiller
84,2.3684373360903663,2.5370493064992514,Si,Bachiller
85,1.857814452466602,1.9504688416189346,No,Universidad
86,2.004854439433915,1.8862380731119446,No,Bachiller
87,1.1207267628288062,2.192355971763316,Si,Secundaria
88,2.2729010208562133,2.248568073083535,No,Bachiller
89,2.699938814501701,2.1696622542107664,No,Bachiller
90,2.650787297065895,2.1569502125891447,No,Grado medio
91,2.1913180610821126,2.513178955823725,No,Grado medio
92,2.31710055931567,0.909592102137128,No,Doctorado
93,2.709847365490515,2.164934336039048,No,Grado medio
94,1.921960583879408,1.4905067274711707,No,Bachiller
95,2.462731943710764,1.342158683587248,No,Bachiller
96,2.363809451466939,2.3400913961524754,No,Secundaria
97,2.5102562852684622,1.3989974586176643,Si,Doctorado
98,2.096708978684684,1.0665791222424845,No,Grado medio
99,1.6949066007720082,2.343923757103212,No,Grado medio
100,2.0518474631680705,1.800420834360521,No,Master
101,1.6626511294381079,1.8453260360436416,Si,Grado medio
102,2.1732651774014324,2.555866259203517,No,Bachiller
103,2.6064992021029054,1.8691060652070617,Si,Grado medio
104,2.8818808475357613,1.5147238572629673,Si,Grado medio
105,1.6764592227702988,1.5843143549394272,No,Secundaria
106,1.5786880258072225,1.7758046748441951,Si,Doctorado
107,2.1179505196371435,1.5633547903268168,No,Universidad
108,2.1290669070330015,2.426018568485291,Si,Doctorado
109,1.0282059292505807,1.362915149256729,No,Universidad
110,1.8092003106637007,2.039818907457515,Si,Bachiller
111,2.256602208854256,1.4735182708187535,Si,Universidad
112,2.698027555268676,2.141530593116721,Si,Universidad
113,2.0666207758647754,1.72433136977881,Si,Doctorado
114,2.2241225902828274,2.537987014833381,No,Master
115,1.5245937143747832,1.9371482800479505,No,Master
116,1.7636343012923053,1.4133083533923765,Si,Secundaria
117,1.7372772453716423,1.7290575282350633,Si,Doctorado
118,2.580493359771546,1.8017304750005183,No,Universidad
119,1.91636506144271,1.7991667393628679,Si,Grado medio
120,2.03834684730022,2.4263978053406143,Si,Master
121,1.724256854118252,2.3935408951274675,No,Doctorado
122,2.37179641724396,2.2193796246298705,No,Bachiller
123,1.8171784179974744,2.107514994372252,No,Master
124,1.4315602635081321,2.42666938290381,Si,Secundaria
125,2.7705022625956364,1.5944872165732213,No,Bachiller
126,1.0719234193778875,1.418581218398515,Si,Grado medio
127,2.1849748547710766,2.087754566748257,No,Master
128,2.324269077410986,2.510508650753226,Si,Master
129,2.1787544827426943,1.4109473577236524,Si,Doctorado
130,2.26517074461557,2.066834559456605,No,Master
131,2.2603941535128307,1.0853537210746622,Si,Grado medio
132,3.2127882135105112,1.689156279156259,No,Grado medio
133,2.6862661213155365,2.4341468687658936,No,Master
134,1.8516842774212021,2.2389348435373067,Si,Doctorado
135,1.9683373458989666,1.9898230862356159,No,Bachiller
136,2.317652943743894,2.2723385940908423,No,Doctorado
137,1.7166973243342452,1.5872668008219453,Si,Doctorado
138,2.069163608479042,1.4487625723314284,No,Doctorado
139,2.3219858200946337,2.0266316540128595,No,Grado medio
140,2.403693509739309,1.4354929255195867,No,Doctorado
141,2.298542856139005,1.3333362270458218,No,Master
142,0.9670362000223813,1.9147010052893936,No,Bachiller
143,1.8700563388450626,1.1670262948838745,Si,Secundaria
144,1.5868839950576792,2.502156921342298,Si,Universidad
145,2.517734607899906,1.4158987752111192,Si,Grado medio
146,2.9073456091267014,2.3473522890943173,No,Grado medio
147,2.6872062090794797,1.9488805032910737,No,Universidad
148,1.8222225605905713,1.9857120612933186,No,Doctorado
149,1.4981930275921647,2.4699919916136417,Si,Grado medio
150,1.759356753008543,2.548762370096493,Si,Master
151,2.0389879833221376,2.412059629017521,Si,Grado medio
152,1.6466661761003885,2.1300114848990064,No,Master
153,1.9374276109803044,1.904860253900256,No,Grado medio
154,2.103742610317872,2.599644796296176,Si,Master
155,1.908048487320397,2.5640543539434164,No,Universidad
156,1.9120668562894958,1.7624661132791344,No,Doctorado
157,2.0548468310719765,2.08905017230911,Si,Master
158,1.6146041885271707,2.0148977551412175,Si,Doctorado
159,1.8238834388048697,2.2143018506265193,Si,Bachiller
160,1.5013997913044905,2.466367109760356,Si,Secundaria
161,2.1592118497698523,2.2474412036530196,Si,Secundaria
162,2.0475529893767392,1.221558533578553,No,Doctorado
163,2.0092629716880546,2.0620524184990745,No,Secundaria
164,1.9473939151701172,2.079647708873562,No,Grado medio
165,1.2470309365865695,1.6550656339016059,No,Bachiller
166,2.2568112322489466,1.6502297443472682,No,Bachiller
167,1.9349223046377868,2.2097555538146447,Si,Doctorado
168,1.8662954224254622,1.8252662020454489,Si,Bachiller
169,1.9423060494148179,2.133134223912929,Si,Secundaria
170,2.4307050826213,1.576081069101418,Si,Doctorado
171,1.8578802697933368,2.0002052574437843,Si,Universidad
172,1.8064209812731122,1.9492693646136638,Si,Bachiller
173,1.7182545911194025,2.121381024456384,No,Grado medio
174,2.20286970056471,1.830836451989169,No,Universidad
175,1.713902624620527,2.2003115301623857,No,Master
176,2.141698906325209,2.029853927124899,Si,Secundaria
177,1.737651659771761,2.1471376040615344,No,Master
178,1.8435583256675971,2.137369412725662,No,Universidad
179,1.811040333289209,1.4389448198714652,Si,Doctorado
180,1.6360824870094595,1.4284012822806762,Si,Master
181,2.2503404320218228,2.219772989413348,No,Doctorado
182,2.0503824686774075,2.153361165129053,No,Grado medio
183,2.0047508527803655,2.079139578194824,Si,Master
184,2.0201211396668737,1.8807497974202525,Si,Bachiller
185,2.1388729300093243,1.6888901335697026,Si,Bachiller
186,1.8771425533599377,2.2520695692211326,Si,Secundaria
187,2.6754802826493704,1.7814388408138864,Si,Bachiller
188,1.168888886362024,2.664151603362309,Si,Doctorado
189,2.3313342877126204,1.5284319110690192,No,Secundaria
190,1.90466807090382,1.9399249110292547,No,Secundaria
191,1.8529231055978406,1.9889210515289866,No,Master
192,2.1349814156286637,1.8966944759758513,No,Master
193,2.156874658373208,2.032067452399011,No,Universidad
194,2.4373717218983906,1.7098986909500642,No,Grado medio
195,1.0984370732351492,2.3026553101027742,Si,Bachiller
196,1.5792367105232756,1.7749182316698193,Si,Master
197,2.0064861999420396,2.4319298693101286,Si,Bachiller
198,2.53384477236756,1.6438343687767933,No,Secundaria
199,1.9406650281282667,2.2210152604284765,No,Grado medio
200,1.6722392209229668,1.8829914712807256,No,Doctorado
201,1.5176381114762,2.405365005012909,No,Bachiller
202,2.0125813379206514,1.5523682808077126,No,Grado medio
203,1.5732784917884517,1.9461212273715451,Si,Master
204,1.706389509077139,2.554825668919981,No,Master
205,2.572447706407759,2.476270554879809,Si,Secundaria
206,1.675700035598205,2.00000551960223,Si,Master
207,1.301507101391381,2.271811686975491,Si,Master
208,2.0812397083759695,1.9488244796099647,No,Doctorado
209,2.427433889573076,1.517723722574058,No,Grado medio
210,2.3861763583449953,2.117748133291009,No,Grado medio
211,1.4049883086853114,0.9661279120220334,No,Doctorado
212,1.6683864845965792,2.0310013278610217,Si,Bachiller
213,1.674570059740915,2.1988891032080216,No,Universidad
214,2.0052808782833833,2.4454681988027707,Si,Master
215,1.155551884230869,2.293055206148964,No,Grado medio
216,1.8254470191186483,1.5336779878228723,Si,Doctorado
217,1.9724280837980346,1.9123252516702864,Si,Grado medio
218,1.570592645512906,1.8623168822920213,No,Master
219,1.9233184165878927,1.3617548585161545,Si,Grado medio
220,1.2810665950526388,2.3147193498227145,Si,Master
221,2.025314136679076,1.7512757333757356,No,Bachiller
222,1.929328192205475,1.5019266014069397,No,Master
223,1.317224913412872,1.9975922443282403,Si,Doctorado
224,1.722597783820277,1.3878476658608534,Si,Doctorado
225,1.014294763365156,1.6015203911769582,Si,Universidad
226,1.6094546850040286,2.3523837682999744,No,Bachiller
227,1.1582855459739845,1.5550042075496708,Si,Secundaria
228,2.2398161227880777,2.7676131826504444,Si,Bachiller
229,1.7449464065771012,1.6765383853153233,No,Grado medio
230,1.5755976201969777,2.4199120141256385,No,Master
231,1.786608265796972,2.356893583013092,No,Master
232,2.33107600392558,2.952475832114871,No,Doctorado
233,2.3396185914831515,1.6715178745760002,Si,Secundaria
234,2.869905497784491,1.6514498482606712,Si,Universidad
235,1.890549988276232,1.437911771142658,No,Grado medio
236,1.190853512950345,1.7420890206015769,No,Secundaria
237,2.2460708345789997,2.676073709195779,No,Grado medio
238,1.572072135902305,1.9342505427408496,Si,Doctorado
239,1.359672404902231,1.6199917547913343,No,Master
240,1.988883839368977,2.788333947947783,No,Doctorado
241,1.8402184758064335,2.4558992318879116,Si,Master
242,2.2031176619081028,2.3654310804539733,Si,Grado medio
243,1.8239180427665702,1.9649705978854564,Si,Doctorado
244,2.2124408985563906,2.036062681805669,No,Universidad
245,2.5556351383890643,2.9332230456873924,Si,Doctorado
246,1.7107513963251562,2.4476899243333623,No,Bachiller
247,2.0698045876950917,1.9858908845010854,No,Bachiller
248,1.8237285898630764,2.1019485168667886,No,Doctorado
249,1.6461375293735088,1.5161138730499166,No,Doctorado
